Epoch  CE Train Loss  NCE Train Loss  APL Train Loss  CE Train Acc  NCE Train Acc  APL Train Acc  CE Test Acc  NCE Test Acc  APL Test Acc
1      2.290          1.292           1.471           16.188        18.772         19.178         31.25        42.33         43.48
2      2.242          1.259           1.429           17.578        22.286         22.582         37.51        48.99         47.58
3      2.232          1.243           1.417           18.682        24.138         23.868         42.02        54.37         53.63
4      2.230          1.235           1.411           18.68         25.336         25.09          41.8         56.22         54.55
5      2.201          1.220           1.391           21.276        27.692         27.718         46.32        62.14         62.72
6      2.191          1.211           1.380           22.368        28.756         28.978         47.57        63.19         63.76
7      2.186          1.205           1.371           22.948        29.31          29.564         47.45        63.05         63.83
8      2.181          1.201           1.369           23.212        29.672         29.932         50.62        64.64         64.93
9      2.167          1.196           1.361           24.508        30.604         30.802         52.81        67.05         66.78
10     2.164          1.191           1.360           25.042        31.448         31.608         51.95        67.58         66.99
11     2.161          1.191           1.357           25.074        31.606         31.61          53.61        67.78         67.32
12     2.157          1.189           1.355           25.302        31.696         32.048         54.37        68.43         67.83
